               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.05576,            0.017483,                   0,             0.79214,             0.89101,             0.92437,             0.63938,            0.031217,           0.0055406,                   0,            0.070077,           0.0033248,           0.0033248
                   1,             0.03243,             0.01018,                   0,             0.97899,             0.93365,             0.97948,             0.72824,            0.024068,           0.0046937,                   0,            0.040011,           0.0065922,           0.0065922
                   2,            0.025974,           0.0084624,                   0,             0.96388,             0.94155,             0.97735,             0.74876,            0.021288,           0.0046676,                   0,           0.0098787,           0.0097937,           0.0097937
                   3,            0.021745,           0.0077942,                   0,             0.94377,             0.94155,             0.97631,             0.79734,            0.018617,           0.0050727,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.019259,           0.0070603,                   0,             0.97228,             0.90995,             0.96766,             0.80192,            0.017913,           0.0054442,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.017867,           0.0067057,                   0,             0.96144,             0.86665,             0.93445,             0.80139,            0.017642,            0.007156,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.016849,           0.0063058,                   0,             0.95186,             0.82938,             0.92814,             0.79523,             0.01689,           0.0074642,                   0,            0.009505,            0.009505,            0.009505
                   7,             0.01614,           0.0060523,                   0,              0.9643,             0.89622,             0.96809,             0.82836,            0.016093,           0.0052408,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.015845,           0.0059123,                   0,             0.95749,             0.88951,             0.94389,             0.82333,            0.015092,           0.0056731,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.015224,           0.0057988,                   0,             0.96641,             0.86353,             0.92582,             0.79978,            0.016772,           0.0067324,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.014718,            0.005628,                   0,             0.97968,               0.891,             0.94962,             0.82166,            0.015758,           0.0055939,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.014364,           0.0054736,                   0,             0.97909,              0.8876,             0.94745,             0.82219,            0.015639,             0.00556,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.014108,            0.005301,                   0,             0.97507,              0.8652,             0.93983,             0.82508,            0.015313,           0.0058104,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.013759,            0.005247,                   0,             0.96277,             0.85804,             0.92541,              0.8052,            0.016314,           0.0065708,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.013488,           0.0051656,                   0,             0.96081,             0.85209,             0.91754,             0.80144,            0.016019,           0.0070961,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.013319,           0.0051161,                   0,              0.9515,             0.85466,             0.92294,             0.80654,            0.015024,           0.0067981,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.013051,           0.0050737,                   0,             0.97532,             0.83886,             0.92139,              0.8203,            0.015003,           0.0071409,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.012931,           0.0049872,                   0,             0.97984,             0.83728,             0.90755,             0.81292,            0.015431,           0.0073551,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.012825,           0.0049184,                   0,             0.95926,             0.82938,             0.91367,             0.80802,            0.015044,           0.0072831,                   0,            0.008317,            0.008317,            0.008317
                  19,             0.01262,           0.0048961,                   0,               0.974,              0.8286,             0.90751,             0.81637,            0.015055,           0.0072232,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.012578,           0.0047717,                   0,             0.97682,             0.82622,             0.91003,             0.81148,             0.01487,           0.0072889,                   0,            0.008119,            0.008119,            0.008119
